COlonne1,Colonne2
0,-0.0757219781825427
0.01,-0.0407718094082274
0.02,-0.00497338140266863
0.03,-0.0230234607399411
0.04,0.045025616849535
0.05,-0.110559807282991
0.06,-0.00422992650544596
0.07,-0.117313079173946
0.08,-0.0178125680895063
0.09,-0.057484271095847
0.1,0.0929894231009759
0.11,0.0444106497693476
0.12,-0.0822418464282728
0.13,0.0401899842345953
0.14,-0.0389639887134043
0.15,0.0218855573369084
0.16,0.00722196202695994
0.17,0.0860640975213019
0.18,0.0809272257786933
0.19,-0.0655929568470381
0.2,0.00138231371541801
0.21,0.0504347039288542
0.22,0.0482980504405511
0.23,-0.0573576278736015
0.24,0.00239577776400773
0.25,-0.0345711251961701
0.26,-0.0269282848148491
0.27,-0.0502691457218382
0.28,-0.0271431094465452
0.29,0.0860584065376684
0.3,-0.0255010369474695
0.31,-0.0742261939550881
0.32,-0.0484536699801922
0.33,0.15340262672722
0.34,0.0166706562022703
0.35,0.0199363936429321
0.36,-0.0216419501958469
0.37,0.03233187793335
0.38,-0.000681677001547986
0.39,-0.105149438905281
0.4,-0.055777123287405
0.41,-0.0181171914252852
0.42,0.0593044505729881
0.43,0.00385042546684118
0.44,-0.0103274616482817
0.45,0.0355144163816608
0.46,0.0212189319246125
0.47,-0.027605332098072
0.48,-0.101824951034848
0.49,0.158314320725511
0.5,0.0708449726004529
0.51,-0.0733999854753416
0.52,-0.0381339483500859
0.53,0.0173699666399987
0.54,-0.0271416222530759
0.55,0.0633829951132753
0.56,0.066277398931294
0.57,-0.0206664219948492
0.58,-0.098452786107591
0.59,-0.0485577403901857
0.6,0.0331623385656457
0.61,-0.0573792121812532
0.62,0.0162879787119136
0.63,0.047353495079909
0.64,0.0290870819363632
0.65,0.0400394810205539
0.66,0.0138590167646345
0.67,-0.0361948062613956
0.68,0.0695669471903468
0.69,-0.0223655622593957
0.7,-0.0730700423572625
0.71,-0.00912756007683337
0.72,-0.0450665476025098
0.73,0.00404108244069728
0.74,-0.130583777918698
0.75,-0.0595103044371395
0.76,0.118359080517302
0.77,-0.00191556577686455
0.78,0.117835314044999
0.79,-0.0664943596280684
0.8,-0.0252784531270467
0.81,-0.041191065740794
0.82,-0.0564749019849903
0.83,-0.113608744920615
0.84,0.0209958330759046
0.85,0.00899988160602901
0.86,-0.040056489298337
0.87,-0.0636926780569729
0.88,0.0722458503486448
0.89,0.0353965951557983
0.9,-0.00299837637317096
0.91,0.160948746106382
0.92,-0.075713885179133
0.93,0.0663726208729795
0.94,-0.075249641356828
0.95,0.0509048052306636
0.96,-0.0414274853868439
0.97,-0.0534383402035809
0.98,0.0113495741404457
0.99,-0.0366449397838804
1,6.50820250892486
1.01,6.4662359645612
1.02,6.58031542149279
1.03,6.5672653497703
1.04,6.44282779063615
1.05,6.59210160297265
1.06,6.55694543888103
1.07,6.69871929556853
1.08,6.64726384217613
1.09,6.6989793832166
1.1,6.695529837871
1.11,6.64617297501617
1.12,6.67863705361752
1.13,6.69982898202259
1.14,6.80015945982176
1.15,6.81347986378623
1.16,6.9506383329057
1.17,6.94796357229488
1.18,6.87313329550261
1.19,6.93456486269801
1.2,7.00181678309067
1.21,7.14875524883222
1.22,7.08386107455525
1.23,7.11674083619685
1.24,7.20527636635204
1.25,7.19644086090268
1.26,7.08473324781598
1.27,7.31678867594524
1.28,7.42664479301478
1.29,7.52980692296224
1.3,7.43944193541086
1.31,7.46703822888514
1.32,7.53170773271565
1.33,7.35498581850406
1.34,7.45485874249859
1.35,7.50394966962979
1.36,7.54894834402769
1.37,7.7907432332436
1.38,7.52126489405144
1.39,7.6548782512361
1.4,7.7400979475392
1.41,7.83867028538478
1.42,7.72215966656618
1.43,7.61398456587368
1.44,7.74645103586853
1.45,7.73455561076779
1.46,7.819770788392
1.47,7.75786509405549
1.48,7.94009452191794
1.49,7.79289598324328
1.5,7.83510914198878
1.51,7.89381623388478
1.52,7.88027508193364
1.53,7.80004663871177
1.54,7.91037834000186
1.55,7.86254926960567
1.56,8.01151194673996
1.57,7.85580596495087
1.58,7.81902143638415
1.59,7.97843082120382
1.6,8.0083019810411
1.61,8.00613233711154
1.62,7.89881161261337
1.63,7.99199178864564
1.64,7.94684000919268
1.65,8.02877928850153
1.66,7.8660731125856
1.67,7.97715188454
1.68,7.86455700135286
1.69,7.86446107759207
1.7,7.91619828265561
1.71,7.87629124163622
1.72,7.90622751848404
1.73,7.89762585374499
1.74,7.78649921855986
1.75,7.84484953247487
1.76,7.90434752416416
1.77,7.71563686574684
1.78,7.86916202833028
1.79,7.75613316157668
1.8,7.8201862852315
1.81,7.76634546141631
1.82,7.70015123831101
1.83,7.63680339216985
1.84,7.70531512047483
1.85,7.63855567888731
1.86,7.65121318167438
1.87,7.61132153264157
1.88,7.66467634108145
1.89,7.56972515290222
1.9,7.4377143531175
1.91,7.56122137656782
1.92,7.56304044131993
1.93,7.34710970487025
1.94,7.34384315825731
1.95,7.33794049537874
1.96,7.45274104935425
1.97,7.22470310843827
1.98,7.33191752011046
1.99,7.33842056961879
2,7.27146374423085
2.01,7.16809171727952
2.02,7.11369423390404
2.03,7.10632217597349
2.04,7.10110870147498
2.05,6.92983810878628
2.06,7.05123513916196
2.07,6.96419548010453
2.08,6.97941447547084
2.09,6.86619673627997
2.1,6.97942638783429
2.11,6.77089552709411
2.12,6.8449409644213
2.13,6.73897823199144
2.14,6.75975384197364
2.15,6.72954086173645
2.16,6.72962522163728
2.17,6.62755099867187
2.18,6.50757729590027
2.19,6.44600205453531
2.2,6.33381454195892
2.21,6.34834546790501
2.22,6.4853907122993
2.23,6.36780457796315
2.24,6.26506375123088
2.25,6.3747382258107
2.26,6.18524536124622
2.27,6.15765478034849
2.28,6.05137063731177
2.29,5.99027966908201
2.3,5.92146523317236
2.31,5.94609137798098
2.32,5.90105887837799
2.33,5.74425415575337
2.34,5.67155424389248
2.35,5.76793876938536
2.36,5.68491960755199
2.37,5.70951084832492
2.38,5.59598175213719
2.39,5.50033404574138
2.4,5.54018688926743
2.41,5.44442599402994
2.42,5.40188643858457
2.43,5.39595414065762
2.44,5.34157093413758
2.45,5.13539394595738
2.46,5.27386778467905
2.47,5.19192567477241
2.48,5.20836577356686
2.49,5.06780637710449
2.5,4.98686766472003
2.51,4.99796496819569
2.52,4.89237003921152
2.53,4.91287398336763
2.54,4.73456441264767
2.55,4.77019602446908
2.56,4.66877812498616
2.57,4.52887885112461
2.58,4.59341291391777
2.59,4.48650199671272
2.6,4.50821610819437
2.61,4.49617226529318
2.62,4.48757936263253
2.63,4.40435899154792
2.64,4.25600995714607
2.65,4.22730803163275
2.66,4.30282275436027
2.67,4.20046778927997
2.68,4.22501453773323
2.69,4.07341548050469
2.7,3.98338653014071
2.71,4.04814234910526
2.72,4.13470854497568
2.73,3.86137890504238
2.74,3.65218080257895
2.75,3.77988190590316
2.76,3.74956653118347
2.77,3.7049783820951
2.78,3.61578422465106
2.79,3.49742790862749
2.8,3.48918107810156
2.81,3.55634572486922
2.82,3.49817080477001
2.83,3.43923156436192
2.84,3.4670421620972
2.85,3.29283339916625
2.86,3.31446658611332
2.87,3.18097831724951
2.88,3.25225734614744
2.89,3.09014177042971
2.9,3.27900934731757
2.91,2.9955981759174
2.92,3.17159016840764
2.93,3.10039824544029
2.94,2.98844207669767
2.95,3.04624021405539
2.96,2.88174698903059
2.97,2.83739692145376
2.98,2.74815078182137
2.99,2.82171434708707
3,2.73003235425613
3.01,2.70335069307525
3.02,2.63623021138217
3.03,2.60386145979733
3.04,2.67274840537874
3.05,2.45712859597124
3.06,2.56090740620191
3.07,2.55979739967954
3.08,2.53022891788102
3.09,2.35318459177487
3.1,2.40702495790302
3.11,2.1870821032836
3.12,2.34228819787396
3.13,2.30548819060813
3.14,2.23691612233021
3.15,2.30806566873816
3.16,2.21771342556391
3.17,2.27112503894984
3.18,2.06934409910231
3.19,2.08747048895156
3.2,2.15688156512205
3.21,2.04310438822598
3.22,2.04433076245838
3.23,1.89965318952679
3.24,1.87301551577631
3.25,1.89107264834418
3.26,1.87446281784479
3.27,1.82731675635394
3.28,1.9026227936815
3.29,1.80290077874552
3.3,1.82675080244954
3.31,1.71945814983443
3.32,1.76237025005445
3.33,1.60461425547112
3.34,1.69127851609275
3.35,1.59626457423868
3.36,1.65809262788427
3.37,1.73068034961589
3.38,1.58713983773658
3.39,1.60207815926993
3.4,1.65822142131025
3.41,1.53219521310924
3.42,1.50915832188454
3.43,1.53071413910728
3.44,1.39795815551603
3.45,1.52027711804787
3.46,1.51073184709352
3.47,1.43188970363783
3.48,1.38833142037433
3.49,1.42991138850283
3.5,1.39748969094745
3.51,1.43404369300882
3.52,1.21689846391539
3.53,1.2059685511299
3.54,1.41607631868643
3.55,1.17638988924861
3.56,1.34636245051059
3.57,1.29399539585617
3.58,1.22468130821213
3.59,1.26881309933481
3.6,1.14809431933891
3.61,1.14344295159023
3.62,1.31476554909474
3.63,1.2689948017918
3.64,1.23803078840096
3.65,1.15076600354569
3.66,1.19620314370915
3.67,1.11243056633058
3.68,1.13421890081167
3.69,1.20619973215124
3.7,1.12248230872621
3.71,1.17208594933955
3.72,1.15662944651337
3.73,1.01778033236841
3.74,1.20859925098627
3.75,1.22590961612994
3.76,1.05686568306098
3.77,1.18418722231863
3.78,1.08692043561511
3.79,1.05691590100926
3.8,1.08562110271589
3.81,1.10104550244983
3.82,1.07225588045509
3.83,0.977986043002773
3.84,1.09483603470453
3.85,1.01103975529415
3.86,1.08841312708024
3.87,1.00837961633498
3.88,1.09074134400007
3.89,0.964570192864119
3.9,1.02864198753874
3.91,0.936114705620165
3.92,1.01818324963088
3.93,0.982281657373129
3.94,0.954506717910002
3.95,1.01036492680263
3.96,1.06409676554247
3.97,1.04702529556711
3.98,1.10343062742237
3.99,1.17584377515573
4,1.03411751314812
4.01,1.01071348383222
4.02,1.03175487760077
4.03,1.07087021107108
4.04,1.08090017984116
4.05,0.983075531689982
4.06,1.03496473781948
4.07,0.959730168150948
4.08,1.01426657761166
4.09,0.976469982689185
4.1,1.16598434416963
4.11,1.09784308487282
4.12,1.02114853200595
4.13,0.971709812328588
4.14,1.20775550415646
4.15,1.09612119598062
4.16,0.980487874613856
4.17,1.1031386833661
4.18,1.16071513313438
4.19,1.21984056801462
4.2,1.13739238827284
4.21,1.11579752442669
4.22,1.13315323351914
4.23,1.166352357635
4.24,1.16063522110049
4.25,1.12839301347346
4.26,1.11813328846675
4.27,1.28738221000636
4.28,1.15154303480977
4.29,1.24287899030396
4.3,1.17528741735445
4.31,1.26067397254856
4.32,1.15007139036439
4.33,1.17473904952135
4.34,1.30098461234958
4.35,1.29674042641507
4.36,1.15810977055053
4.37,1.21596941531655
4.38,1.41336099838354
4.39,1.26472044245548
4.4,1.28279338263427
4.41,1.3776822397054
4.42,1.41226721934121
4.43,1.31768074170284
4.44,1.42882081984553
4.45,1.31882475956938
4.46,1.37778571320787
4.47,1.49747754990444
4.48,1.34367524172185
4.49,1.46709688998486
4.5,1.45268873396537
4.51,1.30778641005593
4.52,1.45931943339361
4.53,1.46606642609016
4.54,1.40305658036266
4.55,1.39487306977289
4.56,1.52522293465553
4.57,1.54788232927545
4.58,1.57093522478939
4.59,1.49297520444285
4.6,1.55455856453353
4.61,1.52769648223724
4.62,1.48527698668126
4.63,1.50579777417305
4.64,1.64514130018516
4.65,1.66102791229406
4.66,1.56949284209809
4.67,1.59623807852773
4.68,1.58756078736496
4.69,1.63173262410083
4.7,1.76893149865346
4.71,1.73843721702539
4.72,1.7314074341918
4.73,1.7261845289182
4.74,1.71219785682825
4.75,1.73351799839058
4.76,1.78339906102152
4.77,1.74085332872805
4.78,1.76139648864249
4.79,1.79709274281061
4.8,1.82101109409783
4.81,1.89846989223693
4.82,1.75175296409144
4.83,1.75226201379402
4.84,1.8160975951732
4.85,1.92287122866215
4.86,1.84427329335293
4.87,1.96806319951596
4.88,1.88282372687588
4.89,1.88503304430854
4.9,1.85753463282044
4.91,1.859505431962
4.92,1.90006445020448
4.93,2.04017475153128
4.94,1.91102538681202
4.95,2.05535003554051
4.96,2.07000582122139
4.97,1.82620042297464
4.98,2.0438107726679
4.99,2.07056681404751
5,2.02393274352497
5.01,2.11181523552374
5.02,2.03860150247263
5.03,2.09743850435384
5.04,2.11049136207485
5.05,2.15220995598689
5.06,2.11803425218489
5.07,2.20896362906204
5.08,2.08643363382548
5.09,2.19817305646702
5.1,2.20539266492684
5.11,2.24823554650714
5.12,2.22454923745636
5.13,2.1012342129648
5.14,2.18504778584593
5.15,2.36898483718491
5.16,2.29777257501316
5.17,2.28151651489488
5.18,2.3322646148396
5.19,2.2993578849224
5.2,2.33169557094831
5.21,2.23477818712521
5.22,2.34771531816991
5.23,2.40425487980943
5.24,2.31376137402059
5.25,2.43063549669133
5.26,2.347561045649
5.27,2.27388101774069
5.28,2.36477883128745
5.29,2.33300283458032
5.3,2.38213918481544
5.31,2.4328012735852
5.32,2.33616832689985
5.33,2.53910992689555
5.34,2.2435773530569
5.35,2.43258001881896
5.36,2.41077361243922
5.37,2.49143245029462
5.38,2.54725250092091
5.39,2.6036673571717
5.4,2.39952154814455
5.41,2.59605627786565
5.42,2.56163093636628
5.43,2.53069157064959
5.44,2.59997096927663
5.45,2.52366282202629
5.46,2.54199617894533
5.47,2.59862165698982
5.48,2.53105028246053
5.49,2.6389986363812
5.5,2.62153283383808
5.51,2.53226712825653
5.52,2.584124982805
5.53,2.57453527100301
5.54,2.52462709292248
5.55,2.58657098809064
5.56,2.63090935476721
5.57,2.61080600294186
5.58,2.59554192401018
5.59,2.7596896327913
5.6,2.66416020260587
5.61,2.73818820145062
5.62,2.62703295728919
5.63,2.61035836006288
5.64,2.60389267735322
5.65,2.74257331869215
5.66,2.72326413641177
5.67,2.61898834382897
5.68,2.68864015609825
5.69,2.73109560553876
5.7,2.72468486010483
5.71,2.7075910051248
5.72,2.67220757161881
5.73,2.75945126429161
5.74,2.78735137695824
5.75,2.73510442877788
5.76,2.73248713958294
5.77,2.75294889179778
5.78,2.71020954885913
5.79,2.59240381394607
5.8,2.68654336092975
5.81,2.85168794192055
5.82,2.7980691570904
5.83,2.89555366932228
5.84,2.83793682690777
5.85,2.70720571878502
5.86,2.68254436300069
5.87,2.64031162723711
5.88,2.84742557882229
5.89,2.74236839613137
5.9,2.83837720130802
5.91,2.71562195393223
5.92,2.73259129433118
5.93,2.83475187698811
5.94,2.96763599579551
5.95,2.82096262202281
5.96,2.89789821731807
5.97,2.89147555739573
5.98,2.85224943451592
5.99,2.9250814967528
6,2.72053752951333
6.01,2.84757553419351
6.02,2.88560118987869
6.03,2.84027832413948
6.04,2.94099437868693
6.05,2.7634030601782
6.06,2.8839613609176
6.07,2.81777801177472
6.08,2.8566671174974
6.09,2.9498993423239
6.1,2.90989371503773
6.11,2.84041011439223
6.12,2.79213004680249
6.13,2.82874817592197
6.14,2.80301562008764
6.15,2.91290705665982
6.16,2.75732462072558
6.17,2.71526019759026
6.18,2.78202261050654
6.19,2.94908477989647
6.2,2.82833744262795
6.21,2.83318056166816
6.22,2.88995778150504
6.23,2.86228113680506
6.24,2.9001272048521
6.25,2.84271143560242
6.26,2.85000275448573
6.27,2.80941608294993
6.28,2.85006400223888
6.29,2.85577199404664
6.3,2.83812908907285
6.31,2.88323085666172
6.32,2.97204798961275
6.33,2.8189932138089
6.34,2.8755577308511
6.35,2.84252946196786
6.36,2.79840323145257
6.37,2.89028706335475
6.38,2.92664132125527
6.39,2.98347978913594
6.4,2.91036549411967
6.41,2.77130122582487
6.42,2.84218539773053
6.43,2.80058055383045
6.44,2.73986127880773
6.45,2.87570703049332
6.46,2.79472602230807
6.47,2.72589251401967
6.48,2.91890321594141
6.49,2.90756936880011
6.5,2.85280207967524
6.51,2.81925287916364
6.52,2.89242148314943
6.53,2.87682531257751
6.54,2.97935465105487
6.55,2.93497087233645
6.56,2.81545611776155
6.57,2.71152734178247
6.58,2.85987519518981
6.59,2.68203402184035
6.6,2.83552728470839
6.61,2.87677468465966
6.62,2.75612952128466
6.63,2.88977967189623
6.64,2.66422935355888
6.65,2.85224297396766
6.66,2.81440692787065
6.67,2.79735950355135
6.68,2.88704905897483
6.69,2.74003444373474
6.7,2.80601964045976
6.71,2.64561087701952
6.72,2.8580747617278
6.73,2.77979175063
6.74,2.85108090850918
6.75,2.82233091157327
6.76,2.78410188143279
6.77,2.78618354242155
6.78,2.82865226999206
6.79,2.73651694502876
6.8,2.58516466084215
6.81,2.78132178132969
6.82,2.75686833492365
6.83,2.86235876041126
6.84,2.66359189611855
6.85,2.78158837944847
6.86,2.80806469242858
6.87,2.82815189841373
6.88,2.67925226569693
6.89,2.7147583209028
6.9,2.8621535493276
6.91,2.61561284073985
6.92,2.75910816451987
6.93,2.76903004104532
6.94,2.75334333053642
6.95,2.68634324986691
6.96,2.75908868931255
6.97,2.67984281499395
6.98,2.64691585497094
6.99,2.66744697020696
7,2.65503287804055
7.01,2.6601313191288
7.02,2.64740121477099
7.03,2.79929740030053
7.04,2.70359090613876
7.05,2.69198441990958
7.06,2.58740123770967
7.07,2.77790455314763
7.08,2.67079354510855
7.09,2.69395573060175
7.1,2.64281184327715
7.11,2.61441299074218
7.12,2.60008650658343
7.13,2.69559211147076
7.14,2.6895367691189
7.15,2.70678406844264
7.16,2.57167000613129
7.17,2.63937842776697
7.18,2.68566113985494
7.19,2.50155615353259
7.2,2.63372110062225
7.21,2.62072163468292
7.22,2.66202876771382
7.23,2.64888006399274
7.24,2.56506792534158
7.25,2.69017588120205
7.26,2.5200089195365
7.27,2.5665314962506
7.28,2.6443984646501
7.29,2.60118691066187
7.3,2.64077034604608
7.31,2.51994275882128
7.32,2.54252306974936
7.33,2.62374746401095
7.34,2.58846644693795
7.35,2.50250511072375
7.36,2.59629684466745
7.37,2.5818564971475
7.38,2.58095013407033
7.39,2.64288960806318
7.4,2.57903077601669
7.41,2.44144813673273
7.42,2.65449306897146
7.43,2.48226354314813
7.44,2.4665418314794
7.45,2.6429643891815
7.46,2.48329083187044
7.47,2.58631901043158
7.48,2.47773506932602
7.49,2.57135187739208
7.5,2.4811498774286
7.51,2.48301380541333
7.52,2.47982906370176
7.53,2.60907751755393
7.54,2.59060471753616
7.55,2.42312750388048
7.56,2.51566350980021
7.57,2.65930686334827
7.58,2.55370992111347
7.59,2.50430059107533
7.6,2.57315547133265
7.61,2.39986961068893
7.62,2.47601547582149
7.63,2.4994862427379
7.64,2.49442998771637
7.65,2.57907117661109
7.66,2.45139946385544
7.67,2.51793969516724
7.68,2.45750457235219
7.69,2.40877354034998
7.7,2.55726808450139
7.71,2.44123506656058
7.72,2.49370931581862
7.73,2.50569916912038
7.74,2.38500508846274
7.75,2.39569450992049
7.76,2.45908509454495
7.77,2.51017185813032
7.78,2.53057793758489
7.79,2.50143149846354
7.8,2.44131711127306
7.81,2.36721899381445
7.82,2.37640161088008
7.83,2.55726676937662
7.84,2.47713673980352
7.85,2.45600634814743
7.86,2.35243756596826
7.87,2.52348763087614
7.88,2.40984648597598
7.89,2.3459195825076
7.9,2.50828435819129
7.91,2.38900796208121
7.92,2.38695774813034
7.93,2.44309696500594
7.94,2.4829936132473
7.95,2.43767342951547
7.96,2.30257831248522
7.97,2.41478591132255
7.98,2.39418601713217
7.99,2.37693412706505
8,2.50783160489102
8.01,2.39297783225701
8.02,2.29408351936265
8.03,2.52223401264252
8.04,2.29999410351253
8.05,2.55811107181004
8.06,2.45941994141827
8.07,2.44704882275263
8.08,2.34442262067747
8.09,2.48331808793388
8.1,2.32014419544565
8.11,2.5072037306668
8.12,2.43358441596157
8.13,2.25109468584643
8.14,2.44713898509316
8.15,2.26448056326889
8.16,2.54075747136938
8.17,2.45477036136826
8.18,2.3822327498736
8.19,2.29887530521689
8.2,2.19525311374971
8.21,2.26451567044408
8.22,2.37810335297321
8.23,2.4734132524133
8.24,2.47121700632976
8.25,2.45594967669559
8.26,2.35139421166667
8.27,2.38369490847919
8.28,2.46434788188601
8.29,2.37403259793031
8.3,2.51076741629359
8.31,2.34138613104788
8.32,2.30236382580649
8.33,2.29554465338884
8.34,2.35635224672797
8.35,2.43456162636777
8.36,2.29220578620721
8.37,2.39737144993015
8.38,2.36901214288723
8.39,2.48802462198305
8.4,2.45977408759599
8.41,2.32207805642814
8.42,2.30028115760892
8.43,2.40770430929895
8.44,2.43213864723246
8.45,2.35106092850176
8.46,2.33187010362444
8.47,2.48373367241262
8.48,2.29080213381583
8.49,2.33448331239333
8.5,2.36501759862863
8.51,2.39681892274072
8.52,2.4783606637602
8.53,2.44236033249501
8.54,2.44273943095315
8.55,2.42805532550399
8.56,2.32800933754461
8.57,2.31050403470751
8.58,2.27000177981962
8.59,2.42085539141644
8.6,2.4805150298908
8.61,2.37376211451867
8.62,2.34364076881001
8.63,2.32036006646856
8.64,2.43591375264577
8.65,2.47341982758621
8.66,2.33326702215402
8.67,2.36082274452759
8.68,2.44478617837475
8.69,2.31048185802537
8.7,2.40211119974945
8.71,2.40778216305457
8.72,2.35937962824488
8.73,2.40207445966319
8.74,2.44228962517756
8.75,2.29902006482188
8.76,2.40042903124228
8.77,2.39204969481949
8.78,2.43128185446108
8.79,2.33845628106534
8.8,2.32985764180655
8.81,2.34353381394034
8.82,2.49250528242529
8.83,2.39932695445069
8.84,2.40463192550636
8.85,2.46833817856987
8.86,2.36999606901628
8.87,2.38046995932617
8.88,2.35824617138003
8.89,2.28856951153996
8.9,2.44122623599673
8.91,2.46650260781198
8.92,2.40303543544428
8.93,2.43378513389366
8.94,2.36872831283114
8.95,2.32370185421348
8.96,2.30158590778637
8.97,2.44913862737294
8.98,2.31450950022625
8.99,2.25133271254128
9,2.38966701330412
9.01,2.47491576109524
9.02,2.49280324906779
9.03,2.39639205816392
9.04,2.35533844205769
9.05,2.45463225515167
9.06,2.39234270008563
9.07,2.29288793160513
9.08,2.49568933010051
9.09,2.41334633945251
9.1,2.35467995462371
9.11,2.47826995357101
9.12,2.43622193023715
9.13,2.44430384434339
9.14,2.38426932948125
9.15,2.39311984625422
9.16,2.29563300436879
9.17,2.4186850950993
9.18,2.45007575312168
9.19,2.44317076930738
9.2,2.28519188056391
9.21,2.27109637739006
9.22,2.42211129039688
9.23,2.42528346068739
9.24,2.41013542018466
9.25,2.46377942995666
9.26,2.47642119534654
9.27,2.47248163653759
9.28,2.46817721052837
9.29,2.46540781410391
9.3,2.52336602186558
9.31,2.39151165767409
9.32,2.45949000360295
9.33,2.48319617077801
9.34,2.25544326975186
9.35,2.45994253936194
9.36,2.3688499221477
9.37,2.40508643980885
9.38,2.51719690080347
9.39,2.40077181110716
9.4,2.31954326263975
9.41,2.35995840877123
9.42,2.42083817606642
9.43,2.29644092497535
9.44,2.46791552395928
9.45,2.44347531733666
9.46,2.32123779399485
9.47,2.32752527965674
9.48,2.47897404117544
9.49,2.48911018568553
9.5,2.3574383579322
9.51,2.46381889855414
9.52,2.45442667747094
9.53,2.42947081178006
9.54,2.49856324203345
9.55,2.49971509073338
9.56,2.36392176912035
9.57,2.51123745934067
9.58,2.46824138540245
