COlonne1,Colonne2
0,0.0116495351050066
0.01,0.00627217055319903
0.02,0.000763731546970132
0.03,0.00353955675957627
0.04,-0.00693065387093624
0.05,0.0170047180420574
0.06,0.000645181131694084
0.07,0.0180410476869763
0.08,0.00273128789179363
0.09,0.00883220423961755
0.1,-0.0143200797913779
0.11,-0.00684832972818873
0.12,0.0126358138245681
0.13,-0.00620071950963965
0.14,0.00597595080847681
0.15,-0.00338615938350201
0.16,-0.00113074142740113
0.17,-0.0132604649066911
0.18,-0.012469664882253
0.19,0.0100734023872135
0.2,-0.000228942970783116
0.21,-0.00777429312422874
0.22,-0.00744411386560032
0.23,0.00881257137831735
0.24,-0.000378447007947187
0.25,0.0053102128610027
0.26,0.00413561654071889
0.27,0.00772739421101283
0.28,0.00417002039588087
0.29,-0.0132454669791216
0.3,0.00391809324107925
0.31,0.0114152138022333
0.32,0.00745062731194342
0.33,-0.0236043494220085
0.34,-0.00256808812853855
0.35,-0.0030689699305261
0.36,0.00332938643350702
0.37,-0.00497267580228107
0.38,0.000107933525270444
0.39,0.0161815933747269
0.4,0.00858688052774916
0.41,0.00279319862699168
0.42,-0.00911797493846495
0.43,-0.000586381630212313
0.44,0.00159545818497158
0.45,-0.00545650876838212
0.46,-0.00325639432996376
0.47,0.00425616087648983
0.48,0.0156756316411842
0.49,-0.0243454493918522
0.5,-0.0108878838977007
0.51,0.011305632369265
0.52,0.0058819117738614
0.53,-0.00265604492863495
0.54,0.00419285080419268
0.55,-0.0097331406986507
0.56,-0.0101773780341764
0.57,0.00320030081441937
0.58,0.0151692471040621
0.59,0.00749410068490707
0.6,-0.0050780531032363
0.61,0.00885154192140885
0.62,-0.00248184829744603
0.63,-0.00726129728104776
0.64,-0.00445080247955288
0.65,-0.00613507816373851
0.66,-0.00210626278078934
0.67,0.0055955896570017
0.68,-0.0106744158305291
0.69,0.00347018732062002
0.7,0.0112721577426641
0.71,0.0014354888988054
0.72,0.00696470822817437
0.73,-0.000590464907244197
0.74,0.0201207155760558
0.75,0.00918535718994591
0.76,-0.0181810243810057
0.77,0.000321484485202313
0.78,-0.0181022146650142
0.79,0.010256440898099
0.8,0.00391604231821345
